,mov_href,mov_title,mov_year,mov_type,mov_rating
1268,tt0093822,Raising Arizona,1987.0,0,7.3
1269,tt0091738,Peggy Sue Got Married,1986.0,0,6.4
1270,tt0090769,The Boy in Blue,1986.0,0,5.3
1271,tt0086969,Birdy,1984.0,0,7.3
1272,tt0087089,The Cotton Club,1984.0,0,6.6
1273,tt0087968,Racing with the Moon,1984.0,0,6.7
1274,tt0086216,Rumble Fish,1983.0,0,7.2
1275,tt0086525,Valley Girl,1983.0,0,6.4
1276,tt0083929,Fast Times at Ridgemont High,1982.0,0,7.2
1277,tt0082064,The Best of Times,1981.0,2,5.4
1278,tt13821126,Extrapolations,2022.0,1,
1279,tt11564570,Knives Out 2,2022.0,0,
1280,tt8847712,The French Dispatch,2021.0,0,7.5
1281,tt0385887,Motherless Brooklyn,2019.0,0,6.8
1282,tt0437086,Alita: Battle Angel,2019.0,0,7.3
1283,tt5846856,Ask the StoryBots,2018.0,1,8.3
1284,tt5104604,Isle of Dogs,2018.0,0,7.9
1285,tt4682786,Collateral Beauty,2016.0,0,6.8
1286,tt1700841,Sausage Party,2016.0,0,6.1
1287,tt4788934,The Guardian Brothers,2016.0,0,5.5
1288,tt3530232,Last Week Tonight with John Oliver,2015.0,1,8.8
1289,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014.0,0,7.7
1290,tt2278388,The Grand Budapest Hotel,2014.0,0,8.1
1291,tt0096697,The Simpsons,2003.0,1,8.6
1292,tt1194173,The Bourne Legacy,2012.0,0,6.6
1293,tt1748122,Moonrise Kingdom,2012.0,0,7.8
1294,tt1645170,The Dictator,2012.0,0,6.4
1295,tt1442437,Modern Family,2009.0,1,8.4
1296,tt1151359,Leaves of Grass,2009.0,0,6.4
1297,tt1058017,The Invention of Lying,2009.0,0,6.4
1298,tt0482572,Pride and Glory,2008.0,0,6.6
1299,tt1221815,The Incredible Hulk,2008.0,8,6.5
1300,tt0800080,The Incredible Hulk,2008.0,0,6.6
1301,tt0446755,The Painted Veil,2006.0,0,7.5
